Timestamp,ACO,AJM,AJU,BJU,MON,CHO,CUA,CUT,FAC,GAM,HGM,INN,MER,MGH,MPA,NEZ,PED,SAG,SFE,SS1,TAH,TLA,UAX,UIZ,VIF
01-Jan-2020 00:59:59,12,13,14,14,15,14,12,8,10,16,15,5,16,15,13,14,13,16,12,14,13,14,13,15,14
01-Jan-2020 01:59:59,11,11,14,14,15,13,12,8,9,15,5,5,15,14,13,14,13,16,11,14,12,12,12,15,13
01-Jan-2020 02:59:59,11,11,14,14,15,13,12,7,9,14,5,5,14,14,13,13,12,16,11,13,12,13,13,15,12
01-Jan-2020 03:59:59,10,10,14,14,14,14,11,6,8,14,7,7,14,14,14,13,11,15,11,13,12,13,13,15,12
01-Jan-2020 04:59:59,9,9,13,13,14,14,11,6,7,14,6,6,14,14,13,13,11,15,11,12,12,12,12,14,11
01-Jan-2020 05:59:59,9,9,13,13,14,12,11,5,7,13,6,6,13,13,12,12,11,14,10,11,12,13,13,14,10
01-Jan-2020 06:59:59,8,8,12,12,13,13,11,4,6,13,7,7,13,13,11,12,10,13,10,11,11,14,14,14,10
01-Jan-2020 07:59:59,8,8,12,12,13,11,10,4,6,13,8,8,13,13,11,12,10,13,10,10,11,12,12,13,9
01-Jan-2020 08:59:59,10,8,8,14,15,15,12,8,10,14,9,9,15,14,13,13,13,14,13,13,12,14,14,15,10
01-Jan-2020 09:59:59,17,11,11,16,18,17,14,14,16,16,11,11,17,16,14,15,15,17,14,17,15,16,16,18,14
01-Jan-2020 10:59:59,19,16,13,19,20,19,15,18,20,19,13,13,20,19,16,18,17,20,16,19,19,19,19,20,19
01-Jan-2020 11:59:59,21,18,14,22,22,20,17,22,22,22,14,14,22,21,18,19,20,21,18,22,21,21,21,22,21
01-Jan-2020 12:59:59,22,20,14,22,23,20,19,24,25,23,15,15,23,23,19,21,22,19,19,24,22,21,21,23,22
01-Jan-2020 13:59:59,22,19,14,23,23,21,19,25,25,24,15,15,23,24,19,22,23,23,22,25,22,21,21,23,24
01-Jan-2020 14:59:59,22,19,14,23,23,21,19,25,24,23,15,15,23,24,19,21,24,24,21,24,22,21,21,23,23
01-Jan-2020 15:59:59,22,18,14,22,22,20,18,25,24,23,14,14,23,23,18,21,23,24,20,24,22,21,21,23,24
01-Jan-2020 16:59:59,21,17,13,22,22,20,17,23,23,22,14,14,22,22,18,20,21,23,18,23,20,21,21,22,23
01-Jan-2020 17:59:59,20,16,11,20,20,19,16,22,21,21,20,13,21,21,17,19,20,22,17,21,19,20,19,21,22
01-Jan-2020 18:59:59,19,14,11,19,18,18,14,19,19,19,19,11,19,20,15,18,18,20,15,20,18,19,18,20,20
01-Jan-2020 19:59:59,18,13,10,18,18,18,14,18,17,19,18,10,19,18,14,17,17,19,15,19,17,18,17,19,19
01-Jan-2020 20:59:59,17,13,9,17,17,18,13,17,17,18,17,10,18,18,14,16,16,19,14,18,16,17,17,18,18
01-Jan-2020 21:59:59,16,13,9,17,17,17,12,17,16,17,17,10,17,17,14,16,15,18,14,18,15,17,16,18,17
01-Jan-2020 22:59:59,16,13,9,16,17,16,12,16,16,17,17,9,17,17,14,16,14,18,14,17,14,16,16,17,17
01-Jan-2020 23:59:59,16,13,9,16,16,14,12,15,14,17,16,9,17,16,13,15,15,17,13,17,14,15,15,17,17
02-Jan-2020 00:59:59,15,12,9,15,15,13,12,13,14,16,15,9,16,15,13,14,15,16,13,16,14,15,15,16,16
02-Jan-2020 01:59:59,15,12,9,16,15,13,12,14,13,15,15,9,15,15,12,13,15,16,13,16,15,14,15,16,16
02-Jan-2020 02:59:59,14,12,9,16,14,13,12,14,12,15,15,9,15,15,11,13,15,15,13,15,14,14,15,16,15
02-Jan-2020 03:59:59,14,11,9,16,14,13,12,14,11,14,15,8,15,15,11,13,14,15,12,15,13,14,15,15,14
02-Jan-2020 04:59:59,14,11,9,16,13,12,12,14,11,14,15,8,16,15,12,12,14,15,13,15,13,13,15,16,14
02-Jan-2020 05:59:59,14,11,9,15,14,12,12,14,12,14,15,8,16,15,12,12,14,15,13,15,13,14,15,16,14
02-Jan-2020 06:59:59,14,11,9,15,13,12,11,13,13,13,15,8,16,15,12,12,14,15,13,14,13,14,15,16,14
02-Jan-2020 07:59:59,14,11,8,15,14,13,11,12,13,14,15,8,16,15,12,12,14,15,13,14,14,15,15,16,13
02-Jan-2020 08:59:59,15,12,8,16,15,14,12,16,16,17,17,8,17,16,12,13,15,16,13,16,14,17,15,16,15
02-Jan-2020 09:59:59,16,9,9,17,17,16,13,18,18,17,18,9,18,18,13,15,16,17,15,18,15,17,16,17,17
02-Jan-2020 10:59:59,18,16,10,19,18,17,14,20,20,18,19,11,19,19,14,17,17,19,16,19,16,18,17,18,19
02-Jan-2020 11:59:59,19,16,11,20,20,18,15,20,21,19,20,11,20,20,15,18,19,20,17,19,17,19,18,19,20
02-Jan-2020 12:59:59,20,16,11,21,21,18,16,21,22,20,20,12,21,20,14,19,20,22,17,21,17,19,19,21,22
02-Jan-2020 13:59:59,21,16,11,20,21,18,16,21,22,20,20,11,21,20,15,20,20,23,17,21,18,19,19,21,21
02-Jan-2020 14:59:59,20,16,11,20,21,19,15,21,20,20,20,11,21,20,15,19,19,22,16,20,18,19,18,21,20
02-Jan-2020 15:59:59,20,15,9,19,21,18,14,19,19,19,19,10,20,18,14,19,18,21,15,19,17,19,18,20,20
02-Jan-2020 16:59:59,19,15,9,18,20,17,14,18,18,18,19,10,19,18,13,18,18,21,15,20,16,18,18,19,19
02-Jan-2020 17:59:59,18,14,10,18,17,16,13,17,17,18,18,9,19,18,13,17,17,20,14,18,16,17,17,18,18
02-Jan-2020 18:59:59,16,13,9,18,16,15,13,17,16,17,18,9,18,17,13,16,17,18,14,18,15,16,17,18,18
02-Jan-2020 19:59:59,16,12,8,17,16,15,12,17,15,17,17,9,18,17,13,16,17,17,14,17,15,16,16,17,17
