Timestamp,ACO,AJM,AJU,BJU,MON,CHO,CUA,CUT,FAC,FAR,GAM,HGM,INN,MER,MGH,MPA,NEZ,PED,SAG,SFE,SS1,TAH,TLA,UAX,UIZ,VIF
01-Mar-2020 00:59:59,16,15,5,17,17,15,15,10,12,18,18,17,6,18,18,13,16,16,18,16,17,15,16,15,18,17
01-Mar-2020 01:59:59,14,14,4,16,17,14,14,9,11,17,17,17,6,17,17,13,16,15,18,16,16,14,15,14,17,16
01-Mar-2020 02:59:59,12,13,3,15,16,13,14,8,10,16,16,16,5,16,16,13,15,14,17,13,15,14,15,13,16,14
01-Mar-2020 03:59:59,11,13,3,15,13,12,13,7,10,16,16,16,5,16,16,13,15,14,17,12,15,13,14,13,16,14
01-Mar-2020 04:59:59,10,13,2,14,11,12,13,7,9,15,15,15,5,16,15,12,15,13,16,13,14,13,13,13,16,12
01-Mar-2020 05:59:59,10,12,2,14,11,12,14,6,9,15,15,15,5,15,15,11,14,13,14,12,13,13,13,12,15,12
01-Mar-2020 06:59:59,9,12,2,13,10,11,13,5,8,14,14,14,5,14,14,12,13,13,13,12,13,12,12,11,14,11
01-Mar-2020 07:59:59,9,12,3,14,9,10,14,6,9,14,14,15,5,15,14,12,13,13,14,13,14,11,12,11,15,11
01-Mar-2020 08:59:59,13,14,10,16,15,13,15,12,14,16,16,17,9,17,16,15,12,15,15,15,16,14,16,13,16,12
01-Mar-2020 09:59:59,17,17,16,18,18,17,17,17,20,18,18,19,15,18,19,17,15,18,17,17,18,17,18,17,18,16
01-Mar-2020 10:59:59,20,18,15,20,22,20,18,20,23,20,20,21,16,20,21,19,19,20,20,18,21,20,21,20,21,19
01-Mar-2020 11:59:59,22,20,19,22,24,23,20,23,25,23,23,23,18,23,23,20,21,21,23,20,23,23,23,23,23,22
01-Mar-2020 12:59:59,24,21,20,25,26,25,21,25,27,25,25,24,20,25,25,22,23,24,25,22,25,25,25,24,25,24
01-Mar-2020 13:59:59,26,23,21,26,28,26,22,27,29,26,26,26,20,27,26,24,25,26,27,23,27,26,26,26,27,26
01-Mar-2020 14:59:59,26,24,21,27,28,27,22,28,29,27,27,27,20,27,27,24,26,26,28,23,28,28,27,27,27,27
01-Mar-2020 15:59:59,27,23,20,27,29,27,22,28,29,28,28,27,21,27,26,24,26,25,28,23,29,28,27,27,28,27
01-Mar-2020 16:59:59,27,23,17,26,29,26,22,26,28,27,27,26,20,27,26,24,26,25,28,23,28,27,26,26,27,27
01-Mar-2020 17:59:59,27,22,16,26,26,24,21,26,27,27,27,26,19,27,26,22,25,25,28,23,27,25,26,24,26,27
01-Mar-2020 18:59:59,25,19,15,24,23,22,18,24,24,25,25,24,15,25,24,20,23,23,25,20,26,22,24,22,24,26
01-Mar-2020 19:59:59,22,18,15,23,22,21,18,22,22,24,24,23,10,24,22,19,22,22,24,19,24,22,23,22,23,24
01-Mar-2020 20:59:59,22,18,14,23,22,20,17,21,21,23,23,22,10,23,22,19,21,22,23,19,23,21,22,21,23,23
01-Mar-2020 21:59:59,21,18,13,22,21,20,17,20,21,22,22,22,10,22,22,18,20,21,22,19,23,20,22,20,22,22
01-Mar-2020 22:59:59,21,17,10,20,21,19,16,17,18,21,21,21,9,21,21,16,20,20,22,18,22,19,21,19,22,21
01-Mar-2020 23:59:59,20,16,8,19,21,18,16,14,17,21,21,20,8,21,20,16,19,18,22,17,21,18,20,18,21,20
02-Mar-2020 00:59:59,20,15,8,19,20,17,15,14,15,21,21,19,7,20,19,15,19,17,22,16,20,18,18,17,20,19
