Timestamp,ACO,AJM,AJU,BJU,MON,CHO,CUA,CUT,FAC,FAR,GAM,INN,MER,MGH,MPA,NEZ,PED,SAG,SFE,SS1,TAH,TLA,UAX,UIZ,VIF
01-Apr-2020 00:59:59,14,13,11,17,17,17,13,13,15,18,17,9,17,16,15,16,16,18,13,18,18,15,17,18,16
01-Apr-2020 01:59:59,12,12,10,16,15,15,13,12,14,18,16,7,17,16,14,16,16,17,13,17,17,15,17,18,15
01-Apr-2020 02:59:59,12,12,9,16,15,15,13,11,14,17,16,6,16,15,13,15,15,16,12,16,16,15,16,17,17
01-Apr-2020 03:59:59,11,11,7,16,13,13,12,10,13,16,16,6,16,15,12,14,15,16,12,15,15,14,16,17,17
01-Apr-2020 04:59:59,10,10,6,15,12,12,12,9,11,14,15,5,15,15,12,14,14,15,12,14,14,14,15,16,14
01-Apr-2020 05:59:59,9,10,6,15,12,12,12,9,11,14,15,5,15,15,11,13,14,14,11,14,14,14,14,16,13
01-Apr-2020 06:59:59,9,10,4,15,12,12,12,8,10,14,14,4,15,15,10,13,14,14,11,13,13,14,13,16,13
01-Apr-2020 07:59:59,9,11,6,15,13,13,12,11,11,15,15,6,15,15,12,13,14,14,12,14,14,14,14,16,13
01-Apr-2020 08:59:59,12,14,12,16,16,16,14,15,15,16,17,11,16,17,14,14,16,16,14,16,16,16,16,17,14
01-Apr-2020 09:59:59,15,16,12,18,18,18,15,18,20,19,18,16,18,19,16,17,17,18,16,18,18,19,17,19,17
01-Apr-2020 10:59:59,18,18,18,20,21,21,17,21,23,21,21,17,20,21,18,19,20,20,18,20,20,20,20,21,20
01-Apr-2020 11:59:59,20,19,19,22,23,23,20,23,25,24,23,18,23,23,20,21,21,23,20,23,23,23,22,24,22
01-Apr-2020 12:59:59,22,22,20,24,25,25,21,25,28,25,25,20,25,24,22,23,24,25,21,25,25,24,24,25,25
01-Apr-2020 13:59:59,23,22,19,26,26,26,22,26,29,27,26,20,26,26,22,24,25,26,23,26,26,25,25,27,26
01-Apr-2020 14:59:59,24,23,19,26,26,26,23,27,31,28,27,21,27,27,23,25,26,26,23,28,28,26,26,27,27
01-Apr-2020 15:59:59,24,24,19,27,26,26,23,28,30,28,27,21,27,27,23,25,26,27,23,27,27,26,27,28,28
01-Apr-2020 16:59:59,25,22,16,26,26,26,22,27,30,28,28,17,27,27,22,26,26,28,23,27,27,26,26,28,28
01-Apr-2020 17:59:59,24,20,16,25,24,24,20,25,26,27,27,16,26,26,20,25,24,27,21,24,24,26,24,26,27
01-Apr-2020 18:59:59,21,19,15,24,23,23,19,23,23,26,25,15,25,24,20,23,23,26,20,23,23,24,23,25,27
01-Apr-2020 19:59:59,16,18,14,23,22,22,18,22,22,24,24,14,24,23,19,22,22,24,19,22,22,23,22,24,24
01-Apr-2020 20:59:59,16,18,13,22,21,21,18,15,21,23,22,13,23,22,18,21,21,22,19,22,22,19,21,24,21
