Timestamp,AJM,AJU,BJU,MON,CHO,CUA,CUT,FAC,FAR,GAM,INN,MER,MGH,NEZ,PED,SAG,SFE,SS1,TAH,TLA,UAX,UIZ,VIF
01-May-2020 00:59:59,10,5,15,13,12,12,10,11,15,15,6,14,14,13,13,15,10,14,13,13,13,15,14
01-May-2020 01:59:59,10,6,14,12,11,11,9,10,14,14,5,14,14,13,12,14,10,13,12,13,12,15,13
01-May-2020 02:59:59,9,4,13,12,10,10,9,9,14,13,4,14,14,12,12,14,10,13,12,12,12,14,13
01-May-2020 03:59:59,9,3,13,12,10,10,9,9,15,13,4,13,13,12,11,14,10,12,11,12,11,14,13
01-May-2020 04:59:59,9,2,13,10,9,10,9,8,14,13,4,13,13,11,11,13,9,13,11,11,11,13,12
01-May-2020 05:59:59,9,2,12,10,9,10,8,8,13,13,4,13,13,11,11,13,9,12,10,11,10,13,11
01-May-2020 06:59:59,9,2,12,9,9,11,8,7,12,12,4,13,13,11,11,12,9,11,10,11,10,13,11
01-May-2020 07:59:59,12,6,13,11,11,12,12,9,13,13,6,14,15,12,12,13,12,13,12,13,11,15,12
01-May-2020 08:59:59,14,11,15,13,13,14,15,15,15,15,11,15,16,13,14,15,13,15,14,15,14,16,15
01-May-2020 09:59:59,16,14,17,17,16,15,17,19,18,17,14,17,18,16,16,17,15,17,17,17,16,19,17
01-May-2020 10:59:59,17,15,19,19,19,16,19,22,20,19,16,20,20,18,19,19,17,19,19,19,19,20,19
01-May-2020 11:59:59,19,16,21,22,21,18,22,24,22,21,18,22,22,20,20,21,19,21,22,21,21,22,22
01-May-2020 12:59:59,20,14,22,23,23,18,24,25,24,23,19,23,23,21,21,23,19,23,23,22,22,24,23
01-May-2020 13:59:59,21,15,23,25,24,18,20,25,25,24,19,24,23,22,22,25,20,24,24,23,23,25,24
01-May-2020 14:59:59,19,10,24,25,24,19,15,24,25,25,18,25,23,23,22,24,20,24,24,22,23,26,22
01-May-2020 15:59:59,15,11,21,23,18,14,16,19,24,23,15,22,21,21,18,24,16,22,21,20,19,23,20
01-May-2020 16:59:59,14,12,16,19,16,11,17,15,21,20,12,18,16,18,14,22,13,19,18,17,16,19,20
01-May-2020 17:59:59,13,11,15,17,15,11,18,14,19,18,11,17,15,16,13,19,11,17,16,16,15,18,19
01-May-2020 18:59:59,14,11,16,17,15,13,17,15,19,18,13,18,16,16,14,18,13,18,16,17,15,18,18
01-May-2020 19:59:59,12,10,16,17,15,12,14,15,18,17,12,17,16,16,14,18,12,17,16,16,15,18,16
01-May-2020 20:59:59,12,9,16,16,15,11,13,15,18,17,10,17,15,15,14,17,13,16,16,15,16,18,15
01-May-2020 21:59:59,11,8,16,15,15,11,13,14,17,16,8,16,15,15,14,17,12,16,15,15,15,17,15
01-May-2020 22:59:59,12,7,15,14,13,12,11,13,17,16,7,16,15,15,14,17,13,16,15,15,14,17,14
01-May-2020 23:59:59,12,7,15,13,13,12,10,12,16,16,8,16,15,14,13,16,12,15,14,14,14,17,14
