Timestamp,ACO,AJU,BJU,MON,CHO,CUT,FAC,FAR,GAM,HGM,INN,MER,MGH,MPA,NEZ,PED,SAG,SFE,SS1,TAH,TLA,UAX,UIZ,VIF
01-Aug-2020 00:59:59,12,10,15,15,14,14,13,16,15,9,9,15,15,14,14,14,16,12,14,13,14,13,16,15
01-Aug-2020 01:59:59,12,10,15,15,14,14,14,16,16,9,9,15,15,14,14,14,16,12,14,13,14,13,16,15
01-Aug-2020 02:59:59,12,10,15,15,14,14,13,16,16,10,10,15,15,14,14,14,16,13,14,14,14,13,16,15
01-Aug-2020 03:59:59,12,10,15,15,14,14,13,16,16,10,10,15,15,14,14,14,16,12,14,14,15,14,16,15
01-Aug-2020 04:59:59,12,9,15,15,14,14,13,16,16,10,10,15,15,14,14,14,16,12,14,14,15,13,16,15
01-Aug-2020 05:59:59,12,9,15,15,13,14,13,16,16,9,9,15,15,14,14,14,16,12,14,14,15,14,16,15
01-Aug-2020 06:59:59,12,8,15,14,13,14,13,16,16,9,9,15,15,13,13,14,16,12,14,13,15,14,16,14
01-Aug-2020 07:59:59,12,10,15,15,14,15,13,16,16,10,10,16,15,14,14,15,16,14,15,14,15,14,16,15
01-Aug-2020 08:59:59,13,12,16,17,15,17,15,18,17,13,13,16,16,15,15,16,17,15,16,15,16,16,18,16
01-Aug-2020 09:59:59,15,13,18,19,17,18,19,19,18,15,15,19,17,16,16,17,19,15,18,17,17,17,19,18
01-Aug-2020 10:59:59,16,13,20,19,18,19,21,20,20,15,15,20,18,18,18,18,20,17,20,19,19,19,21,19
01-Aug-2020 11:59:59,18,15,21,22,21,20,24,22,21,15,15,21,21,19,19,20,22,17,21,19,21,20,22,20
01-Aug-2020 12:59:59,19,15,21,22,22,21,24,23,22,16,16,22,22,21,21,18,23,17,22,22,21,21,24,22
01-Aug-2020 13:59:59,20,15,20,23,23,22,21,25,24,16,16,23,19,22,22,19,24,16,23,22,21,21,24,23
01-Aug-2020 14:59:59,21,13,19,25,23,23,18,24,22,17,17,21,16,23,23,19,24,16,21,22,21,22,24,23
01-Aug-2020 15:59:59,18,14,20,22,22,22,17,24,23,17,17,22,18,22,22,20,23,19,21,22,21,22,23,23
01-Aug-2020 16:59:59,16,15,21,19,19,18,20,22,21,16,16,22,19,17,17,20,20,19,21,18,20,21,21,18
01-Aug-2020 17:59:59,15,14,20,18,19,17,19,20,20,13,13,20,19,17,17,19,20,17,19,19,17,20,21,17
01-Aug-2020 18:59:59,16,13,19,18,18,17,18,20,20,12,12,20,18,17,17,18,20,16,19,19,17,19,21,17
01-Aug-2020 19:59:59,15,12,19,18,18,17,18,21,20,12,12,19,18,17,17,18,20,16,18,18,18,18,21,17
